epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,706.501,0.38362,0.4594,0.96875,1.1732,0.80198,1,0.995,0.88003,0.80198,1,0.995,0.8955,0.46991,0.492,0.82977,1.40377,0.000155761,0.000155761,0.000155761
92,713.719,0.40704,0.54049,0.91171,1.19787,0.87175,1,0.995,0.88315,0.87175,1,0.995,0.8955,0.40065,0.4807,0.80675,1.35537,0.000141614,0.000141614,0.000141614
93,722.292,0.331,0.33,0.71893,1.11963,0.86603,1,0.995,0.91215,0.86603,1,0.995,0.84575,0.39506,0.56334,0.88425,1.35757,0.000127467,0.000127467,0.000127467
94,729.575,0.28011,0.42109,0.57616,1.07753,0.81538,1,0.995,0.9121,0.81538,1,0.995,0.84575,0.41388,0.62053,0.95115,1.37886,0.00011332,0.00011332,0.00011332
95,737.48,0.25328,0.30984,0.53991,1.07201,0.81161,1,0.995,0.93282,0.81161,1,0.995,0.84575,0.41504,0.61395,0.95324,1.38596,9.91726e-05,9.91726e-05,9.91726e-05
96,744.37,0.2854,0.46179,0.58478,1.1333,0.77966,1,0.995,0.93281,0.77966,1,0.995,0.84575,0.41512,0.59997,0.99806,1.38795,8.50255e-05,8.50255e-05,8.50255e-05
97,751.346,0.29009,0.37483,0.66909,1.13503,0.75253,1,0.97,0.91031,0.75253,1,0.97,0.84731,0.41614,0.55306,1.07033,1.38608,7.08784e-05,7.08784e-05,7.08784e-05
98,758.894,0.34567,0.33323,0.60499,1.15652,0.76703,1,0.97,0.9103,0.76703,1,0.97,0.8473,0.40369,0.53363,1.04571,1.37165,5.67313e-05,5.67313e-05,5.67313e-05
99,765.628,0.25644,0.33111,0.55856,1.05258,0.79228,1,0.97,0.9103,0.79228,1,0.97,0.8473,0.39799,0.62584,1.03427,1.36488,4.25842e-05,4.25842e-05,4.25842e-05
100,773.255,0.28074,0.33673,0.66515,1.14958,0.79734,1,0.97,0.9103,0.79734,1,0.97,0.8473,0.3964,0.67159,0.99507,1.35733,2.84371e-05,2.84371e-05,2.84371e-05
